UF,Sexo,Idade,Cor,Anos de Estudo,Renda
11,0,23,8,12,800
11,1,23,2,12,1150
11,1,35,8,15,880
11,0,46,2,6,3500
11,1,47,8,9,150
11,1,34,8,12,790
11,0,57,8,12,3150
11,1,60,8,12,1700
11,1,50,4,14,1800
11,0,26,8,12,1150
11,1,46,8,12,3000
11,1,49,8,6,2500
11,1,52,2,6,1200
11,0,38,8,12,2000
11,0,45,2,12,2000
11,0,34,2,16,6000
11,1,43,8,10,1050
11,0,53,8,16,7000
11,0,57,2,12,2000
11,1,62,8,12,1150
11,0,69,8,1,3030
11,1,41,8,16,4000
11,0,34,8,5,788
11,0,25,8,12,1000
11,0,33,8,9,800
11,1,44,8,5,788
11,0,33,2,16,1600
11,0,65,2,12,1700
11,0,33,8,14,2000
11,0,32,8,12,2400
11,0,43,8,5,3000
11,0,30,8,1,920
11,0,26,2,10,1300
11,0,52,2,15,2000
11,0,62,8,1,1300
11,0,64,6,5,600
11,0,31,8,7,1200
11,0,63,2,3,1000
11,1,40,2,9,1000
11,0,47,4,9,1500
11,0,34,2,7,900
11,0,33,8,6,900
11,0,63,8,6,0
11,1,40,8,2,300
11,0,41,8,6,1600
11,0,28,2,10,1500
11,1,32,8,12,750
11,0,44,2,1,800
11,1,38,2,12,3600
11,0,41,2,4,1500
11,0,62,8,8,3000
11,0,37,8,7,2300
11,0,41,2,12,1500
11,0,41,8,12,4500
11,1,46,2,16,4800
11,1,46,8,12,900
11,1,45,2,7,400
11,0,60,8,2,1050
11,1,38,8,7,850
11,1,32,8,12,650
11,1,39,8,6,300
11,1,49,8,5,900
11,1,34,2,11,1000
11,1,38,8,8,970
11,1,36,4,12,1000
11,1,45,2,7,600
11,0,49,4,10,1000
11,1,44,4,10,800
11,0,73,8,1,0
11,0,56,2,6,200
11,0,33,8,4,1400
11,0,27,2,12,2500
11,0,49,2,4,3000
11,0,57,8,2,1100
11,0,41,8,17,2000
11,0,39,2,11,1400
11,0,23,8,5,788
11,0,39,8,9,1400
11,0,35,4,4,1000
11,0,30,8,4,600
11,0,35,8,4,788
11,0,36,2,4,500
11,0,37,8,4,1500
11,0,60,4,1,1400
11,0,38,2,9,600
11,0,43,2,9,800
11,0,42,2,9,1200
11,0,51,2,9,2500
11,1,33,8,12,1200
11,0,46,2,1,2000
11,1,29,4,15,1300
11,0,40,8,9,800
11,1,46,8,1,550
11,0,25,2,6,975
11,0,32,8,5,1500
11,0,40,2,12,1200
11,0,26,4,9,1145
11,1,49,8,1,1200
11,0,37,8,9,1500
11,0,24,4,12,1200
11,1,40,8,9,850
11,0,39,8,10,1200
11,0,39,8,11,900
11,0,41,8,2,1200
11,0,36,8,9,2500
11,1,37,8,11,400
11,0,28,4,12,1100
11,0,32,2,12,1200
11,0,24,4,12,2500
11,0,39,2,14,4000
11,0,33,2,16,2500
11,1,49,8,6,788
11,0,37,2,12,2000
11,0,35,4,12,788
11,1,55,8,9,380
11,0,24,8,12,836
11,0,34,8,15,1250
11,0,27,2,12,1325
11,0,50,2,8,1550
11,0,53,6,8,1800
11,0,67,4,1,1500
11,0,52,2,12,20000
11,0,42,8,5,3000
11,1,66,2,1,1600
11,0,47,2,4,788
11,0,60,8,9,1400
11,0,29,2,11,580
11,0,55,2,5,1500
11,0,55,2,5,1000
11,0,56,2,5,100
11,0,69,2,9,0
11,0,51,2,4,1000
11,1,25,8,12,390
11,0,49,8,3,788
11,0,61,4,4,1800
11,1,54,8,1,400
11,0,37,8,7,1500
11,0,39,2,9,2000
11,0,52,2,5,350
11,0,48,2,2,1600
11,0,40,8,8,1600
11,0,73,2,1,1000
11,0,49,2,3,788
11,0,45,8,16,3000
11,0,80,2,5,2000
11,0,45,8,12,10000
11,1,34,4,16,900
11,0,65,2,7,6000
11,1,23,2,15,1600
11,0,52,2,12,1300
11,1,32,8,12,1400
11,1,36,8,12,1400
11,0,28,2,16,3500
11,0,48,2,12,2500
11,0,36,8,12,1700
11,0,48,2,9,4500
11,1,42,2,12,1700
11,1,46,2,12,4124
11,1,51,8,12,1500
11,0,26,8,12,1200
11,0,25,8,13,1000
11,0,27,8,12,1200
11,0,28,8,12,1600
11,1,37,8,11,950
11,0,26,8,11,1500
11,0,27,8,11,1500
11,0,41,8,16,4000
11,0,49,2,6,900
11,0,32,8,16,6000
11,0,41,4,1,3000
11,0,30,2,16,6000
11,0,79,2,12,0
11,0,52,8,15,2200
11,0,36,2,12,2000
11,0,35,8,16,4000
11,0,50,8,1,1000
11,0,53,8,1,1400
11,1,32,8,5,788
11,1,36,2,9,788
11,0,52,4,9,1700
11,0,55,8,1,1000
11,0,42,2,16,3000
11,0,35,8,5,1500
11,0,71,2,6,1100
11,0,31,4,1,1000
11,1,43,8,12,1100
11,0,51,8,9,1200
11,0,37,8,9,2580
11,0,38,8,17,1900
11,1,35,8,16,2150
11,0,26,2,12,1800
11,1,50,8,6,300
11,0,59,8,5,1300
11,0,25,8,12,788
11,1,42,2,16,2800
