MG,MS,MT,PA,PB,PE ,PR,RJ,RO,RS,AL,SC,SE,SP,AM ,BA,CE,DF,ES,GO,MA ,media_brasil
161.78,190.0,208.86,257.0,182.5,185.0,177.0,187.0,251.66666666666666,194.68,213.6,181.62,196.05,154.34,316.5,205.5,199.0,140.0,168.0,150.0,215.875,196.95103174603173
161.78,189.0,208.86,257.0,182.5,185.0,177.04,188.9,251.66666666666666,196.21,213.6,178.75,208.67,154.05,315.0,207.5,195.0,140.0,172.0,150.0,218.13333333333333,197.65047619047624
162.0,189.0,199.86,257.01,182.5,185.0,177.04,190.0,253.34,196.78,213.6,178.75,213.75,153.62,315.0,214.1,201.83,140.5,172.0,150.0,224.54545454545453,198.5821645021645
162.0,189.0,201.57,257.0,183.75,185.0,179.5,190.0,255.0,193.28,213.6,178.75,214.6,153.86,315.0,213.1818181818182,200.0,140.0,175.0,150.0,229.0909090909091,199.00870129870128
162.0,185.0,197.92,257.0,186.0,185.0,181.0,195.0,255.0,192.68,210.415,179.03,210.6,153.86,314.8,215.1818181818182,201.83,140.0,172.0,150.0,229.16666666666666,198.73730880230883
161.7,185.0,205.34,257.0,187.0,195.0,181.0,195.0,265.0,192.31,213.6,179.03,213.06,152.86,314.6,216.0909090909091,203.0,140.0,173.5,150.0,225.33333333333334,200.25829725829723
162.0,189.0,195.88,257.0,195.0,195.0,181.0,195.0,267.3333333333333,190.71,213.6,179.03,210.0,152.87,312.8,214.77669090909092,206.0,140.0,176.4,150.0,237.1818181818182,200.98008773448777
162.0,192.0,208.0,257.0,195.0,195.0,181.0,195.0,268.0,192.46,213.6,180.0,210.0,154.14,325.0,217.59487272727273,208.0,150.0,176.4,165.0,233.9090909090909,203.7668554112554
168.0,192.0,208.0,257.0,200.0,195.0,181.0,195.0,284.6666666666667,197.63,235.0,185.2,215.0,164.99,312.8,219.14032727272726,210.5,175.0,181.5,168.0,250.3,209.32033304473308
172.0,192.0,208.5,268.0,202.5,195.0,181.0,197.0,284.6666666666667,198.45,235.0,190.2,230.5,170.56,314.6,222.77669090909092,212.1,191.0,187.65,168.0,255.0,213.16682655122654
173.0,200.0,208.5,265.0,210.0,191.0,182.7,197.0,287.0,202.93,235.0,192.4,235.0,175.23,316.0,225.23123636363636,213.05,189.0,191.62,173.0,249.28571428571428,214.85461669758817
175.425,205.0,217.75,270.0,212.0,200.0,184.105,198.0,287.0,202.6,235.0,198.75,230.0,175.96,316.0,231.87863333333334,213.05,196.0,191.0,173.0,261.42857142857144,217.8070097505669
175.425,205.0,216.0,272.0,211.0,200.0,186.0,198.0,287.0,205.0,235.0,201.25,221.0,177.31,332.0,234.2325,214.2,196.0,191.0,173.0,261.0,218.63892857142855
180.0,205.0,227.0,270.0,207.5,200.0,188.53,199.0,296.6666666666667,204.4,235.0,201.25,222.5,178.46,338.25,233.386,214.2,199.5,191.92,173.0,248.125,219.6994126984127
181.9,205.0,230.0,273.94,202.5,201.0,191.41,199.0,286.6666666666667,206.95,235.0,201.25,213.0,181.48,363.75,233.39,215.0,205.0,195.55,183.0,256.25,221.954126984127
186.02,210.0,222.5,270.0,205.0,203.5,204.86,210.5,326.0,215.34,235.0,207.44,200.0,182.21,370.0,238.23214285714286,215.0,210.0,196.0,191.585,253.57142857142858,226.32183673469387
193.09,210.0,235.0,273.94,205.0,203.5,204.86,210.5,376.25,212.0,235.0,211.94,230.0,187.96,387.5,238.8653846153846,216.0,210.0,197.05,195.0,260.0,233.02168498168498
195.97,220.0,235.0,270.0,205.0,203.5,204.86,210.5,370.5,216.8,235.0,213.12,230.0,190.49,385.0,239.85417,217.0,210.0,205.53,195.0,260.0,233.9582938095238
195.97,227.5,239.8,279.0,210.0,223.0,205.56,210.5,370.5,218.89,234.0,218.71,230.0,196.39,405.0,242.18231,217.0,216.0,214.0,216.0,260.0,239.52391952380952
198.0,227.5,242.6,286.0,205.0,223.0,207.8,212.0,374.5,218.51,234.0,225.3,235.0,204.92,434.5,241.22,222.0,230.87,213.43,226.55,264.1666666666667,244.136507936508
209.8,227.5,242.6,292.0,210.0,223.0,207.8,212.0,374.5,219.8,229.5,225.3,235.0,210.12,424.0,247.137,222.0,250.0,217.0,226.55,272.5,246.57652380952385
209.9,227.5,246.8,292.0,210.0,223.0,216.43,212.0,382.0,219.8,257.0,225.69,243.0,212.94,424.0,250.12,230.0,247.5,221.7,228.275,276.14285714285717,250.27608843537413
212.4,230.0,246.8,304.0,213.0,231.0,216.43,215.0,383.0,221.6,257.0,225.69,242.68,212.4,422.33,253.48556,230.0,252.0,230.0,228.275,276.14285714285717,252.53492462585032
223.5,230.0,242.6,303.0,217.0,231.0,218.18,215.5,375.5,219.41,240.5,225.69,246.5,215.8,407.0,259.33333,230.0,252.5,230.24,228.275,273.0,251.64420619047615
223.5,231.0,248.8,311.0,227.5,231.0,228.9,220.0,375.5,221.82,244.0,226.63,244.0,217.73,417.0,264.875,230.0,251.76,229.47,226.55,287.7142857142857,255.178537414966
227.5,225.0,245.0,305.0,227.5,231.0,220.52,220.0,378.0,224.82,259.0,226.63,245.7,218.67,405.0,266.5,235.0,249.26,229.0,220.0,304.0,255.3857142857143
225.86,225.0,246.2,308.0,225.5,230.0,222.685,220.0,367.625,225.67,260.0,224.49,242.75,218.79,417.0,260.42857,240.0,241.0,226.0,224.0,299.8125,254.80052714285713
224.86,225.0,246.35,303.0,221.0,230.0,220.0,220.0,367.625,222.11,260.0,224.49,235.5,218.79,410.0,267.66667,240.0,245.0,227.225,218.5,299.1875,253.63353190476192
225.96,225.0,242.5,316.0,251.0,230.0,223.69,220.0,367.63,221.81,260.0,224.49,238.0,218.88,410.0,267.38,240.0,248.54,233.0,218.5,299.6429,256.28680476190476
223.0,225.0,242.5,309.0,235.0,230.0,222.37,220.0,369.63,225.03,260.0,224.49,237.75,219.63,410.0,266.74,240.0,246.5,233.0,217.5,305.7857,255.3774142857143
223.0,222.5,255.0,310.0,251.0,230.0,223.03,220.0,369.63,228.15,260.0,224.49,245.25,219.1,410.0,256.47,242.0,240.0,233.0,218.0,307.9286,256.5975523809524
223.0,225.5,257.5,313.5,235.0,232.0,223.69,220.5,374.63,226.29,260.0,224.49,237.75,219.19,410.0,259.41,248.0,235.5,233.0,218.0,310.0714,256.5248285714286
223.36,225.0,267.5,310.0,235.0,232.0,221.02,222.0,375.88,226.29,260.0,224.49,237.75,218.7,410.0,265.16,248.0,242.55,226.73,218.0,310.0714,257.11911428571426
225.0,225.0,270.0,309.38,251.0,237.0,222.27,223.5,374.63,225.71,260.0,224.49,240.0,218.81,419.0,277.45,225.41,244.5,223.08,216.0,316.3125,258.50202380952385
225.0,225.0,270.0,304.25,240.5,237.0,220.52,224.0,375.38,225.62,255.0,224.49,239.0,219.15,410.0,269.8,230.0,226.69,223.0,216.0,317.5625,256.0934523809524
227.58,225.0,265.0,304.52,230.0,236.0,220.52,224.0,375.38,225.62,264.5,224.49,254.0,219.57,414.95,267.75,226.0,234.5,224.04,216.0,312.0625,256.73726190476185
232.25,230.0,267.5,303.41,251.0,235.0,220.0,224.0,375.375,226.46,264.5,224.49,240.0,219.92,419.0,265.25182,233.96,235.0,225.0,216.0,316.75,258.32699142857143
232.61,230.0,262.0,307.48,205.0,235.0,220.0,224.0,375.375,228.05,260.0,224.49,252.5,221.0,424.0,263.78,240.0,241.71,225.0,216.0,316.0,257.3330952380952
230.0,231.0,256.5,310.0,213.0,235.0,220.0,225.0,380.13,228.97,264.5,227.62,250.0,221.72,417.45,269.26,239.0,245.5,225.0,220.0,316.75,258.4
230.89,231.0,257.5,311.48,221.0,235.0,220.52,225.0,382.63,233.39,266.5,228.55,250.0,226.18,410.45,271.15,240.0,247.0,227.48,222.5,338.0,260.7723809523809
230.89,237.0,257.0,314.09,205.0,242.05,222.79,225.0,382.63,238.45,266.5,232.68,250.0,227.38,410.9,275.78,240.0,244.5,226.5,220.0,338.3333,261.30825238095235
230.0,238.5,263.5,313.18,221.0,242.2,228.0,225.0,382.63,239.16,269.0,232.68,250.0,232.86,410.9,276.69,237.62,246.0,226.0,220.0,340.0,263.0914285714286
228.86,238.5,257.5,314.25,220.0,242.2,223.45,232.5,385.75,244.69,271.5,232.68,250.0,233.66,410.9,278.14,245.0,246.0,230.0,225.0,340.0,264.31333333333333
230.0,245.0,262.25,314.74,220.0,242.0,226.27,232.5,385.75,248.7,271.5,240.08,240.0,233.07,415.0,278.14,245.0,243.75,230.0,230.0,340.0,265.4166666666667
230.0,250.5,265.3,318.58,220.0,260.0,228.0,232.5,388.75,251.61,261.5,240.08,265.0,234.11,418.0,278.14,245.0,245.75,230.0,243.8,326.0,268.22
233.86,250.5,268.38,318.39,220.0,260.0,235.0,232.5,392.45,256.0,271.5,240.08,250.0,233.61,423.0,278.51,245.0,245.75,230.0,243.8,325.0,269.2061904761905
230.0,258.0,269.3,322.1,223.0,260.0,230.29,232.5,392.45,256.6,271.5,240.08,255.14,233.61,423.0,278.51,245.0,247.0,230.0,243.8,327.5,269.9704761904762
230.0,260.0,269.3,321.2,220.0,260.0,232.0,232.5,392.45,262.52,265.0,240.08,250.0,233.39,415.0,278.51,245.0,242.75,230.0,243.8,328.3333333333333,269.1349206349206
230.0,260.0,274.28,323.42,220.0,270.0,235.0,232.5,392.45,262.5,265.0,240.08,246.78,234.88,415.0,281.96,245.0,247.0,230.5,232.0,328.3333,269.8420619047619
228.86,260.0,273.17,321.93,220.0,270.0,235.0,235.0,392.45,266.47,271.67,240.08,250.0,233.18,415.0,281.9,245.0,245.0,229.5,235.0,328.5,270.3671428571428
228.86,260.0,276.79,325.86,220.0,267.5,233.5,235.0,392.45,275.8,272.5,240.08,245.0,233.58,415.0,283.82,245.0,242.0,229.5,232.0,329.65,270.66142857142853
232.86,260.0,276.79,325.0,220.0,265.0,241.2,235.0,393.95,281.4,272.5,240.46,245.0,236.84,415.0,284.27,245.0,247.0,229.5,232.0,332.33,271.95714285714286
232.86,264.5,277.0,325.37,220.0,267.5,248.74,235.0,393.95,280.6,280.0,242.93,265.0,235.91,416.0,286.18,247.0,232.0,230.25,232.0,332.35,273.5780952380953
227.72,264.5,279.25,328.61,240.5,272.0,248.74,235.0,393.95,285.0,280.0,243.44,250.0,238.5,415.0,287.91,245.0,245.0,230.5,232.0,336.21,275.1823809523809
227.72,264.5,279.63,329.69,242.5,272.0,246.87,238.6,393.95,286.0,280.0,243.44,240.0,239.54,415.0,288.82,247.0,245.0,230.5,235.0,336.27,275.3347619047619
227.72,264.5,280.0,329.73,250.0,278.0,241.0,240.0,394.95,282.4,280.0,243.44,260.0,240.54,415.0,288.82,249.0,245.0,230.5,245.0,336.3,277.2333333333333
228.86,264.5,281.23,330.89,250.0,273.17,243.5,242.1,394.95,279.4,280.0,243.44,260.0,241.07,417.0,289.09,249.0,251.23,230.5,247.0,336.31,277.77333333333337
228.86,265.5,281.22,331.49,265.4,273.17,245.0,242.2,397.58,277.4,280.0,243.44,260.0,241.07,416.5,289.55,250.0,246.61,230.5,247.0,336.31,278.51428571428573
228.86,265.5,281.21,331.6,257.5,273.17,246.87,242.2,394.95,278.0,283.17,247.39,260.0,241.07,417.0,289.54909,250.0,249.0,230.5,247.0,336.31,278.61186142857144
228.86,265.5,283.0,332.36,259.17,273.17,247.75,242.3,397.58,279.8,270.0,248.32,247.75,239.8,417.0,289.55,250.0,250.0,230.5,247.0,336.31,277.8914285714286
235.0,265.5,283.0,333.33,264.0,273.17,245.88,242.4,397.58,280.8,265.0,248.32,245.0,239.59,417.0,289.55,250.0,251.0,231.75,247.0,336.31,278.15142857142865
235.0,265.5,284.5,337.53,271.0,273.17,248.18,243.0,397.58,279.8,277.0,250.14,252.5,243.12,417.0,290.46,250.0,250.0,231.75,247.0,336.3,280.02523809523814
238.69,265.5,284.5,338.41,271.0,275.67,246.76,247.1,397.58,274.55,280.0,250.14,252.5,244.0,417.0,293.91,250.0,261.23,231.75,247.0,332.5,280.9423809523809
240.0,261.0,284.7,342.31,259.25,273.17,246.76,252.33,397.58,281.8,277.0,248.8,250.0,246.09,417.0,291.19,250.0,256.0,231.75,247.0,310.0,279.2252380952381
240.0,261.0,285.05,348.0,259.25,276.33,245.0,254.33,399.08,278.4,280.0,249.08,260.0,246.09,418.0,285.89,245.0,265.0,234.0,260.0,308.0,280.83333333333337
240.0,261.0,285.6,350.51,262.86,279.67,240.0,256.7,399.08,279.12,280.0,249.08,262.5,243.97,418.0,292.8,245.0,257.46,234.0,260.0,305.0,281.06428571428575
241.57,261.0,286.45,351.23,262.85714285714283,281.33,253.0,257.4,399.08,275.97,280.0,249.08,255.0,244.05,417.0,294.8,245.0,254.23,234.0,260.0,305.0,281.3355782312925
241.57,261.0,285.6,352.11,265.0,281.33,252.4,258.0,399.08,272.12,280.0,249.08,260.0,244.21,417.0,289.34,245.0,263.0,235.25,260.0,308.0,281.8614285714286
241.57,261.0,285.8,352.49,265.83,280.0,255.0,259.5,399.08,268.92,280.0,248.96,255.0,245.18,417.0,285.86,250.0,257.46,235.75,260.0,308.1,281.54761904761904
243.14,261.0,286.45,352.23,270.0,280.0,257.5,259.5,399.08,270.5,283.0,248.96,262.5,243.7,417.0,285.86,250.3,250.0,237.0,260.0,308.1,282.1819047619048
243.14,261.0,286.0,352.23,289.5,280.0,255.0,260.5,399.08,270.5,283.0,248.96,260.0,243.89,417.0,285.86,250.0,250.0,237.0,260.0,308.1,282.8933333333333
243.14,261.0,287.95,350.0,272.86,282.5,260.0,260.0,399.08,272.41,283.0,248.96,260.0,243.13,417.0,283.01,251.0,250.0,237.0,260.0,309.3,282.4447619047619
244.66,261.0,288.1,354.06,275.51,282.5,260.0,259.9,399.08,275.21,283.0,245.82,265.0,241.68,417.0,284.51,255.0,251.0,238.05,260.0,305.0,283.1466666666667
248.8,261.0,287.45,347.88,272.38,285.0,260.0,259.8,399.08,275.34,283.0,248.39,265.0,242.38,418.5,287.57,256.01,250.0,238.05,260.0,305.0,283.36333333333334
252.4,261.0,285.0,353.06,259.6,285.0,260.0,259.8,399.08,272.44,283.0,245.14,262.5,244.65,418.5,277.33,256.98,248.0,237.55,247.0,305.0,281.5728571428571
252.4,261.0,285.5,358.67,267.6,297.5,260.0,259.8,399.08,282.01,283.0,245.14,265.0,244.65,418.5,288.71,256.98,243.5,237.55,247.0,308.0,283.88523809523815
256.0,261.0,285.6,358.67,267.5,297.5,259.5,259.8,399.08,292.57,275.5,240.63,265.0,244.65,418.0,298.0,256.99,236.0,237.55,255.0,308.0,284.40666666666664
260.0,263.5,286.0,359.05,263.33,293.33,259.5,260.0,399.08,295.34,280.0,240.63,259.5,244.36,404.0,298.83,256.99,236.0,237.55,280.04,308.0,285.0014285714286
260.0,263.5,281.2,363.93,263.33,298.33,259.5,263.5,397.0,298.12,283.0,240.63,270.0,245.32,404.0,298.92,256.98,238.0,237.55,280.04,300.0,285.85
261.07,263.5,282.0,361.67,278.0,291.0,259.5,263.5,397.0,294.12,283.0,240.63,265.0,246.23,404.0,294.79,256.98,230.0,237.0,280.04,300.0,285.19190476190477
261.08,263.5,281.0,362.17,278.0,311.0,259.5,267.35,397.0,290.98,291.5,240.63,259.5,246.77,404.0,302.64,256.98,233.0,238.1,280.04,300.0,286.89238095238096
262.0,263.5,280.5,363.71,281.67,311.0,261.0,267.35,397.0,292.91,292.0,240.25,259.5,247.35,404.0,299.83,256.51,235.75,239.05,280.04,312.0,287.9485714285714
262.0,267.5,280.6,364.57,281.67,311.0,261.0,267.35,397.0,295.12,292.0,242.74,265.0,247.11,404.0,302.69,256.98,233.0,239.53,280.04,312.0,288.7095238095238
267.5,267.5,281.0,365.48,276.0,312.67,261.0,268.17,397.0,294.72,292.0,242.74,267.5,247.11,397.5,302.69,256.98,232.5,242.5,280.04,304.17,288.41761904761904
273.0,267.5,282.0,366.11,280.0,312.67,263.0,268.17,397.0,297.72,300.0,243.56,267.5,247.2,397.5,304.11,260.76,232.5,242.5,280.04,310.0,290.1352380952381
272.5,272.5,282.25,367.57,280.0,312.67,263.0,270.0,397.0,300.72,300.0,243.49,265.0,247.2,397.5,306.71,261.05,235.0,243.75,280.04,316.25,291.15238095238095
272.5,272.5,285.0,365.02,280.0,312.67,259.0,270.61,397.0,304.37,300.0,247.62,275.0,248.2,397.5,306.71,261.1,232.5,244.5,280.04,316.25,291.81380952380954
272.54,272.5,286.0,365.97,280.0,313.33,259.0,271.22,398.0,301.76,300.0,247.62,275.0,248.15,397.5,306.71,261.1,198.0,247.13,280.04,330.0,291.0271428571429
276.0,277.5,288.5,369.23,275.0,308.33,259.0,272.46,398.0,301.76,300.0,254.08,265.0,246.67,397.5,306.71,261.0,198.0,247.69,280.04,330.81,291.1085714285714
276.0,277.5,289.0,369.78,260.0,308.33,255.0,275.0,398.0,301.96,300.0,257.91,250.0,247.34,390.0,305.43,261.6,206.0,248.25,280.04,331.82,289.9504761904762
276.0,280.0,289.5,370.06,259.15,310.0,250.0,276.5,398.0,301.96,300.0,256.41,255.0,249.5,390.0,303.14,261.6,206.0,250.13,280.04,331.82,290.22904761904766
276.0,280.0,300.0,370.37,248.0,310.0,246.0,277.8,398.0,301.96,300.0,254.16,250.0,249.5,390.0,303.14,256.98,230.0,252.0,280.04,338.97,291.0914285714286
276.0,280.0,305.0,373.39,248.0,310.0,246.0,278.0,398.0,302.76,300.0,255.71,245.0,249.73,390.0,303.14,256.4,230.0,252.0,280.04,332.01,291.00857142857143
276.0,280.0,310.0,375.63,248.0,310.0,246.0,278.0,398.0,308.55,300.0,255.71,267.5,249.87,390.0,303.14,256.98,214.0,254.5,280.04,338.77,292.41380952380956
280.0,280.0,312.0,375.75,248.0,310.0,236.0,278.0,398.75,309.79,300.0,256.41,250.0,250.21,390.0,303.14,256.69,214.0,255.0,280.04,340.87,291.65
280.0,280.0,315.0,375.76,248.0,311.67,235.0,277.95,398.75,309.64,300.0,256.44,245.0,250.21,390.0,303.14,256.51,217.5,255.0,280.04,340.87,291.7371428571429
280.0,280.0,317.5,378.88,248.0,310.0,236.0,279.0,398.75,305.99,300.0,256.44,250.0,250.21,390.0,303.14,260.0,235.0,255.0,292.0,340.91,293.65809523809526
280.0,280.0,317.5,382.67,248.0,303.33,237.0,279.5,400.5,306.98,300.0,256.47,245.0,251.06,390.5,295.93,261.0,240.0,257.0,292.0,340.87,293.5861904761905
280.0,282.5,320.0,380.0,248.0,298.33,236.5,279.5,400.5,309.07,300.0,256.47,250.0,251.05,390.5,295.93,264.77,242.0,259.5,292.0,340.88,294.1666666666667
280.0,282.5,322.5,381.0,251.5,303.33,252.0,282.65,400.5,309.1,296.0,259.28,249.5,249.42,390.5,291.92,269.0,240.0,259.5,292.0,345.09,295.5852380952381
280.0,285.0,324.5,381.0,250.0,293.33,253.5,281.95,398.25,310.36,300.0,259.28,265.0,249.57,391.0,297.5,264.77,246.51,264.1,292.0,342.78,296.6857142857143
280.0,285.0,324.5,385.0,250.0,296.67,253.5,284.0,398.25,309.1,301.5,259.28,245.0,249.37,391.0,302.58,258.02,243.26,265.0,292.0,341.65,295.9371428571429
280.0,285.0,324.95,384.0,251.5,296.67,252.0,282.0,398.25,309.1,300.0,261.78,242.5,248.94,391.0,300.92,262.69,240.0,265.0,292.0,343.5,295.79999999999995
280.0,285.0,325.05,383.8,251.5,291.67,252.0,282.0,398.25,309.08,300.0,261.78,242.0,248.94,392.5,293.36,271.0,239.5,267.23,292.0,353.35,296.1909523809524
280.0,285.0,325.75,384.45,257.0,291.67,252.0,282.0,398.25,305.96,300.0,261.78,225.0,248.94,391.0,289.5,268.94,235.0,275.0,310.0,353.35,296.2185714285714
280.0,285.0,326.4,384.48,257.0,286.67,252.0,282.0,398.25,306.04,300.0,261.96,225.0,248.94,391.0,289.43,271.0,237.5,275.0,320.0,370.45,297.5295238095238
280.0,285.0,326.45,385.02,257.0,288.33,252.0,282.0,398.25,306.04,300.0,261.1,225.0,250.19,391.0,290.0,271.0,244.5,275.0,320.0,369.8,297.9847619047619
280.0,285.0,326.8,384.69,257.0,288.33,252.0,283.73,398.25,309.04,300.0,261.1,231.675,250.94,391.5,287.6,266.28,240.0,275.0,295.0,370.57,296.88119047619045
279.0,285.0,339.5,385.0,257.0,285.0,252.0,285.08,398.25,309.04,300.0,260.53,230.0,250.33,391.5,285.33,266.97,232.5,275.0,295.0,371.6,296.8395238095238
279.0,285.0,340.0,385.18,257.0,281.67,249.0,285.37,398.25,317.36,300.0,258.7,220.0,250.58,397.5,285.33,264.47,238.0,275.0,295.0,371.6,296.8576190476191
279.0,285.0,340.0,386.44,257.0,280.0,249.0,286.14,398.25,310.58,300.0,258.0,220.0,252.19,399.5,285.33,268.94,235.0,275.0,295.0,376.53,296.99523809523805
279.0,285.0,342.5,386.45,257.0,281.67,249.0,288.07,398.25,306.09,300.0,258.0,220.0,252.53,392.5,285.33,269.0,230.0,279.0,295.0,376.53,296.7104761904762
280.0,285.0,343.0,386.45,259.5,281.67,249.0,288.1,398.25,297.88,300.0,258.0,220.0,252.58,395.0,285.33,268.0,227.5,274.0,295.0,376.53,296.22809523809525
280.0,285.0,343.5,386.92,259.0,280.0,250.0,290.0,398.25,296.36,300.0,259.42,220.0,253.84,387.5,285.0,273.0,232.5,272.0,295.0,376.53,296.3723809523809
280.0,282.5,343.7,386.9,267.0,280.0,249.43,290.0,398.25,304.51,300.0,260.28,224.995,251.33,380.0,295.0,269.0,230.0,272.0,308.04,376.53,297.5935714285714
280.0,285.0,343.75,387.45,274.4,280.0,245.72,290.0,398.25,307.27,300.0,260.62,225.0,249.7,387.5,295.0,270.5,230.0,267.23,308.04,376.53,298.1885714285714
280.0,285.0,343.7,388.0,280.0,280.0,250.0,290.0,398.25,307.27,300.0,260.62,227.5,250.32,387.4,295.0,260.5,230.0,268.62,308.04,388.3,298.97714285714284
289.05,285.0,343.8,387.85,282.0,273.33,250.0,290.0,398.25,307.27,300.0,260.62,227.5,251.28,387.4,295.0,266.5,230.0,272.0,308.04,388.3,299.67571428571426
280.0,285.0,343.93,389.28,282.0,273.33,241.0,290.0,398.25,308.86,300.0,261.22,227.5,251.22,387.4,295.0,264.0,235.0,267.23,308.04,388.3,298.8838095238095
280.0,285.0,343.0,390.08,282.0,276.67,234.5,290.0,398.25,308.86,300.0,262.18,230.0,250.0,387.5,297.0,265.79,235.0,266.56,308.04,385.24,298.8414285714286
280.0,285.0,343.5,391.11,282.5,270.0,235.0,290.0,398.25,308.86,300.0,264.87,230.0,250.11,387.5,297.0,276.65,230.0,265.88,308.04,385.24,299.02428571428567
